Pool Price,,,
,,,
,,,
,,,
Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
04/30/2024 01,64.5,68.48,8962
04/30/2024 02,101.8,68.56,8893
04/30/2024 03,33.68,68.54,8879
04/30/2024 04,33.63,68.52,8905
04/30/2024 05,33.36,68.5,8944
04/30/2024 06,35.06,68.35,9093
04/30/2024 07,34.54,68.26,9409
04/30/2024 08,36.03,68.12,9794
04/30/2024 09,35.87,68.11,10040
04/30/2024 10,35.61,68.11,10231
04/30/2024 11,35.77,68.11,10313
04/30/2024 12,30.64,68.11,10369
04/30/2024 13,33.58,68.11,10327
04/30/2024 14,32.01,68.12,10258
04/30/2024 15,23.84,68.1,10296
04/30/2024 16,27.94,68.09,10303
04/30/2024 17,26.37,68.07,10316
04/30/2024 18,28.13,68.06,10305
04/30/2024 19,29.48,68.06,10117
04/30/2024 20,36.24,68.05,10015
04/30/2024 21,229.74,68.33,9891
04/30/2024 22,168.87,68.52,9864
04/30/2024 23,78.17,68.59,9578
04/30/2024 24,35.54,68.61,9250
05/01/2024 01,28.6,68.63,9047
05/01/2024 02,23.12,68.63,8956
05/01/2024 03,23.34,68.63,8942
05/01/2024 04,23.8,68.63,8929
05/01/2024 05,24.17,68.62,8960
05/01/2024 06,29.64,68.62,9114
05/01/2024 07,37.22,68.62,9457
05/01/2024 08,36.21,68.53,9836
05/01/2024 09,37.29,68.51,9927
05/01/2024 10,43.03,68.52,9940
05/01/2024 11,55.1,68.56,9980
05/01/2024 12,44.51,68.58,10062
05/01/2024 13,36.81,68.59,10075
05/01/2024 14,35.75,68.6,9943
05/01/2024 15,35.41,68.61,9939
05/01/2024 16,34.87,68.61,10023
05/01/2024 17,35.08,68.62,10073
05/01/2024 18,36.81,68.63,10024
05/01/2024 19,35.61,68.63,9909
05/01/2024 20,31.85,68.52,9825
05/01/2024 21,34.99,68.34,9786
05/01/2024 22,37.54,68.25,9768
05/01/2024 23,44.24,68.22,9533
05/01/2024 24,35.19,68.17,9218
05/02/2024 01,33.97,68.08,9035
05/02/2024 02,34.16,68.06,8906
05/02/2024 03,27.02,68.04,8864
05/02/2024 04,21.77,68.01,8859
05/02/2024 05,21.38,67.98,8923
05/02/2024 06,21.48,67.96,9132
05/02/2024 07,26.78,67.95,9380
05/02/2024 08,32.56,67.93,9672
05/02/2024 09,29.64,67.92,9871
05/02/2024 10,24.69,67.89,9963
05/02/2024 11,21.3,67.85,9898
05/02/2024 12,13.75,67.81,9942
05/02/2024 13,13.73,67.78,9879
05/02/2024 14,14.45,67.75,9885
05/02/2024 15,14.32,67.72,9860
05/02/2024 16,17.87,67.67,9908
05/02/2024 17,23.27,67.6,9914
05/02/2024 18,22.74,67.58,9921
05/02/2024 19,22.28,67.57,9826
05/02/2024 20,23.5,67.57,9807
05/02/2024 21,28.62,67.56,9668
05/02/2024 22,36.14,67.57,9653
05/02/2024 23,38.38,67.58,9397
05/02/2024 24,71.36,67.64,9097
05/03/2024 01,38.68,67.66,8892
05/03/2024 02,38.68,67.68,8758
05/03/2024 03,36.38,67.69,8700
05/03/2024 04,36.72,67.7,8719
05/03/2024 05,38.42,67.72,8773
05/03/2024 06,40.55,67.74,8905
05/03/2024 07,101.84,67.84,9165
05/03/2024 08,82.42,67.92,9503
05/03/2024 09,39.27,67.94,9633
05/03/2024 10,32.18,67.96,9730
05/03/2024 11,33.74,68.01,9790
05/03/2024 12,34.18,68.06,9774
05/03/2024 13,34.63,68.1,9715
05/03/2024 14,38.25,68.16,9689
05/03/2024 15,35.2,68.2,9667
05/03/2024 16,36.85,68.23,9683
05/03/2024 17,43.2,68.26,9670
05/03/2024 18,35.89,68.17,9624
05/03/2024 19,48.17,67.58,9469
05/03/2024 20,60.55,66.35,9352
05/03/2024 21,46.05,65.02,9338
05/03/2024 22,37.19,64.32,9455
05/03/2024 23,36.31,64.25,9348
05/03/2024 24,31.11,64.1,9116
05/04/2024 01,23.14,63.99,8977
05/04/2024 02,27.34,63.97,8831
05/04/2024 03,33.12,63.97,8704
05/04/2024 04,33.81,63.97,8695
05/04/2024 05,38.58,63.98,8766
05/04/2024 06,45.99,63.99,8846
05/04/2024 07,40.65,63.94,8899
05/04/2024 08,27.47,63.9,9032
05/04/2024 09,28.49,63.88,9193
05/04/2024 10,35.52,63.87,9333
05/04/2024 11,35.59,63.84,9398
05/04/2024 12,35.59,63.84,9455
05/04/2024 13,35.21,63.85,9392
05/04/2024 14,39.77,63.84,9369
05/04/2024 15,67.07,63.88,9312
