model_timestamp,local_datetime_naive,date,hour,dayofweek,month,load,pred_load_lr,pred_load_xgb,error_xgb,abs_error_xgb
2025-11-25 04:00:00,2025-11-25 03:00:00,2025-11-25,3,1,11,10140,10177.239772539151,10130.76,9.240234375,9.240234375
2025-11-25 05:00:00,2025-11-25 04:00:00,2025-11-25,4,1,11,10176,10212.731779371014,10161.827,14.1728515625,14.1728515625
2025-11-25 06:00:00,2025-11-25 05:00:00,2025-11-25,5,1,11,10353,10332.459611702745,10292.741,60.2587890625,60.2587890625
2025-11-25 07:00:00,2025-11-25 06:00:00,2025-11-25,6,1,11,10771,10605.550196466686,10742.207,28.79296875,28.79296875
2025-11-25 08:00:00,2025-11-25 07:00:00,2025-11-25,7,1,11,11179,11104.601813986355,11233.197,-54.197265625,54.197265625
2025-11-25 09:00:00,2025-11-25 08:00:00,2025-11-25,8,1,11,11315,11428.075626854068,11306.007,8.9931640625,8.9931640625
2025-11-25 10:00:00,2025-11-25 09:00:00,2025-11-25,9,1,11,11293,11374.435574316522,11334.56,-41.5595703125,41.5595703125
2025-11-25 11:00:00,2025-11-25 10:00:00,2025-11-25,10,1,11,11260,11263.532378493368,11276.654,-16.654296875,16.654296875
2025-11-25 12:00:00,2025-11-25 11:00:00,2025-11-25,11,1,11,11267,11245.990759274378,11252.268,14.732421875,14.732421875
2025-11-25 13:00:00,2025-11-25 12:00:00,2025-11-25,12,1,11,11201,11304.984102848759,11247.218,-46.2177734375,46.2177734375
2025-11-25 14:00:00,2025-11-25 13:00:00,2025-11-25,13,1,11,11235,11229.961490501397,11199.233,35.7666015625,35.7666015625
2025-11-25 15:00:00,2025-11-25 14:00:00,2025-11-25,14,1,11,11180,11312.48555287984,11256.269,-76.2685546875,76.2685546875
2025-11-25 16:00:00,2025-11-25 15:00:00,2025-11-25,15,1,11,11302,11209.093773022401,11234.973,67.02734375,67.02734375
2025-11-25 17:00:00,2025-11-25 16:00:00,2025-11-25,16,1,11,11525,11424.095974278729,11534.444,-9.4443359375,9.4443359375
2025-11-25 18:00:00,2025-11-25 17:00:00,2025-11-25,17,1,11,11719,11656.522092694386,11660.103,58.8974609375,58.8974609375
2025-11-25 19:00:00,2025-11-25 18:00:00,2025-11-25,18,1,11,11590,11762.969413285779,11557.506,32.494140625,32.494140625
2025-11-25 20:00:00,2025-11-25 19:00:00,2025-11-25,19,1,11,11567,11438.043329863005,11459.413,107.5869140625,107.5869140625
2025-11-25 21:00:00,2025-11-25 20:00:00,2025-11-25,20,1,11,11422,11454.373444684647,11430.817,-8.8173828125,8.8173828125
2025-11-25 22:00:00,2025-11-25 21:00:00,2025-11-25,21,1,11,11179,11236.016080077394,11225.152,-46.15234375,46.15234375
2025-11-25 23:00:00,2025-11-25 22:00:00,2025-11-25,22,1,11,10866,10917.562068187886,10888.234,-22.234375,22.234375
2025-11-26 00:00:00,2025-11-25 23:00:00,2025-11-25,23,1,11,10553,10539.728242867212,10588.686,-35.685546875,35.685546875
2025-11-26 01:00:00,2025-11-26 00:00:00,2025-11-26,0,2,11,10398,10326.700728422482,10338.462,59.5380859375,59.5380859375
2025-11-26 02:00:00,2025-11-26 01:00:00,2025-11-26,1,2,11,10288,10264.8707498578,10288.894,-0.8935546875,0.8935546875
2025-11-26 03:00:00,2025-11-26 02:00:00,2025-11-26,2,2,11,10262,10203.460559342495,10211.868,50.1318359375,50.1318359375
2025-11-26 04:00:00,2025-11-26 03:00:00,2025-11-26,3,2,11,10247,10261.250868704781,10211.68,35.3203125,35.3203125
2025-11-26 05:00:00,2025-11-26 04:00:00,2025-11-26,4,2,11,10309,10299.767222707971,10245.923,63.0771484375,63.0771484375
2025-11-26 06:00:00,2025-11-26 05:00:00,2025-11-26,5,2,11,10483,10453.368476713391,10476.615,6.384765625,6.384765625
2025-11-26 07:00:00,2025-11-26 06:00:00,2025-11-26,6,2,11,10849,10715.997356623688,10880.338,-31.337890625,31.337890625
2025-11-26 08:00:00,2025-11-26 07:00:00,2025-11-26,7,2,11,11237,11154.548325527026,11288.228,-51.2275390625,51.2275390625
2025-11-26 09:00:00,2025-11-26 08:00:00,2025-11-26,8,2,11,11279,11483.40390675074,11339.475,-60.474609375,60.474609375
